id,on_surface,patch_size,ppi_in_patch,random_patch_size,rank,size,total_ppis
3BIJA,233.0,15.0,7.0,1.0,1.0,867.0,51.0
3BIJA,233.0,22.0,0.0,8.0,2.0,573.0,51.0
3BIJA,233.0,13.0,1.0,4.0,3.0,563.0,51.0
3BIJA,233.0,4.0,2.0,0.0,4.0,251.0,51.0
3BIJA,233.0,4.0,2.0,0.0,5.0,207.0,51.0
3BIJA,233.0,2.0,0.0,2.0,6.0,138.0,51.0
3BIJA,233.0,2.0,0.0,1.0,7.0,92.0,51.0
3BIJA,233.0,1.0,0.0,0.0,8.0,70.0,51.0
3BIJA,233.0,1.0,0.0,0.0,9.0,63.0,51.0
3BIJA,233.0,1.0,0.0,1.0,10.0,59.0,51.0
3BIJA,233.0,1.0,0.0,0.0,11.0,43.0,51.0
3BIJA,233.0,1.0,0.0,0.0,12.0,43.0,51.0
3BIJA,233.0,1.0,0.0,0.0,13.0,43.0,51.0
3BIJA,233.0,1.0,0.0,1.0,14.0,43.0,51.0
3BIJA,233.0,1.0,1.0,1.0,15.0,35.0,51.0
3BIJA,233.0,1.0,0.0,0.0,16.0,34.0,51.0
3BIJA,233.0,5.0,0.0,0.0,17.0,30.0,51.0
3BIJA,233.0,1.0,0.0,0.0,18.0,27.0,51.0
3BIJA,233.0,1.0,0.0,1.0,19.0,27.0,51.0
3BIJA,233.0,3.0,1.0,1.0,20.0,24.0,51.0
3WAEA,257.0,15.0,0.0,1.0,1.0,566.0,25.0
3WAEA,257.0,8.0,0.0,1.0,2.0,370.0,25.0
3WAEA,257.0,6.0,0.0,0.0,3.0,314.0,25.0
3WAEA,257.0,7.0,0.0,1.0,4.0,290.0,25.0
3WAEA,257.0,5.0,3.0,1.0,5.0,285.0,25.0
3WAEA,257.0,5.0,0.0,1.0,6.0,192.0,25.0
3WAEA,257.0,5.0,4.0,4.0,7.0,164.0,25.0
3WAEA,257.0,5.0,0.0,0.0,8.0,135.0,25.0
3WAEA,257.0,4.0,0.0,0.0,9.0,126.0,25.0
3WAEA,257.0,1.0,0.0,0.0,10.0,85.0,25.0
3WAEA,257.0,1.0,0.0,0.0,11.0,85.0,25.0
3WAEA,257.0,1.0,0.0,0.0,12.0,83.0,25.0
3WAEA,257.0,1.0,0.0,0.0,13.0,83.0,25.0
3WAEA,257.0,3.0,0.0,1.0,14.0,60.0,25.0
3WAEA,257.0,1.0,0.0,0.0,15.0,60.0,25.0
3WAEA,257.0,1.0,0.0,0.0,16.0,37.0,25.0
3WAEA,257.0,2.0,0.0,0.0,17.0,26.0,25.0
3WAEA,257.0,2.0,1.0,0.0,18.0,23.0,25.0
3WAEA,257.0,2.0,0.0,0.0,19.0,17.0,25.0
3WAEA,257.0,1.0,0.0,0.0,20.0,17.0,25.0
3FBQA,265.0,13.0,2.0,1.0,1.0,482.0,44.0
3FBQA,265.0,5.0,0.0,1.0,2.0,472.0,44.0
3FBQA,265.0,9.0,4.0,0.0,3.0,269.0,44.0
3FBQA,265.0,7.0,0.0,2.0,4.0,243.0,44.0
3FBQA,265.0,5.0,0.0,0.0,5.0,183.0,44.0
3FBQA,265.0,3.0,0.0,2.0,6.0,174.0,44.0
3FBQA,265.0,5.0,0.0,0.0,7.0,151.0,44.0
3FBQA,265.0,5.0,1.0,2.0,8.0,94.0,44.0
3FBQA,265.0,1.0,0.0,0.0,9.0,89.0,44.0
3FBQA,265.0,1.0,0.0,0.0,10.0,89.0,44.0
3FBQA,265.0,2.0,1.0,1.0,11.0,77.0,44.0
3FBQA,265.0,6.0,0.0,1.0,12.0,69.0,44.0
3FBQA,265.0,3.0,0.0,1.0,13.0,63.0,44.0
3FBQA,265.0,1.0,1.0,0.0,14.0,60.0,44.0
3FBQA,265.0,1.0,0.0,0.0,15.0,30.0,44.0
3FBQA,265.0,2.0,0.0,0.0,16.0,29.0,44.0
3FBQA,265.0,1.0,0.0,0.0,17.0,23.0,44.0
3FBQA,265.0,4.0,0.0,0.0,18.0,22.0,44.0
3FBQA,265.0,3.0,0.0,0.0,19.0,21.0,44.0
3FBQA,265.0,1.0,0.0,0.0,20.0,20.0,44.0
4WFCA,95.0,33.0,31.0,17.0,1.0,2425.0,55.0
4WFCA,95.0,5.0,3.0,3.0,2.0,455.0,55.0
