id,monomer
4egc,False
5cwh,True
4muo,False
6dc4,False
6a8u,False
3ils,True
4uqx,True
2qkh,False
1ku3,True
2vpv,False
2nn4,False
2pn6,True
2j7n,False
5u4s,False
5g2u,True
5uui,True
3dlq,False
2y3m,False
3qva,False
3ix3,False
3pvz,False
5o63,False
6iyt,False
4no4,False
5ii8,True
4g2u,False
5kay,False
3tjr,False
4ack,False
4ngd,False
1dd4,False
3u0c,False
3enc,False
5ajs,False
4d0o,False
4chm,False
6ggr,False
5vvi,False
6e0o,False
5jk9,False
4v4e,False
3nrw,True
3uip,False
5h6q,False
6og4,False
2dsy,False
2oml,True
2xfr,True
1obb,False
3etv,True
2qfa,False
6r9n,False
3vor,True
6rwr,True
3bjo,True
5iwz,True
4h4d,False
6qyy,False
2bps,False
3mb2,False
3zvs,False
1b9l,False
6fjl,False
3q1c,True
3fan,True
6bt1,True
3ct6,False
4wqk,True
2aus,False
6o65,False
4g22,False
6qua,False
3zxc,False
4hes,False
4ouj,False
4ebb,False
5bmn,True
3dde,False
3a4r,False
4nnq,False
2b1y,True
3o60,False
6irp,False
6njd,False
3s44,True
3zlc,False
1oai,False
1yn3,False
6cka,False
6e1r,False
6i6v,False
5zfk,False
1zbx,False
1ryl,False
5gza,True
4hr3,True
2f4m,False
3vgl,True
5lkq,False
3cs5,False
3n5l,False
4k35,False
2hy5,False
3dxr,False
5cl8,False
2zu9,False
4n0r,False
3imo,False
1p4t,True
1tp6,True
3kop,False
1w18,False
5eyi,False
3tov,False
4kv7,True
2uyo,True
4lya,True
6nov,False
5oyl,False
3k7d,False
3d30,True
5nx8,False
1pby,False
4gf3,False
1luz,False
2fvv,True
6mg1,False
4xyw,True
4ffb,False
3fyr,False
4njh,False
4lw8,False
3wj9,False
1wwm,False
6qvh,True
5bza,False
4xjy,False
5noh,False
6i18,True
6ght,True
3k8u,True
3u2g,True
3og9,False
2ilk,True
1gkm,True
4jxr,False
5vjw,True
1oh2,False
3fhn,False
3o8m,True
2pmi,False
3m4r,True
1gcy,True
5jnm,True
5ep9,False
2i00,False
3fd3,True
4nwb,True
4mbo,True
4phq,False
2a6s,False
2wuj,False
2yim,False
3co5,False
4qtc,True
5c3c,False
4fzp,False
4ox0,False
5hqh,True
6hvm,False
1syx,False
6bo0,True
1yqh,False
2j66,True
3ld7,False
5yix,False
4rfx,False
4m83,False
3utm,False
3odm,False
5tf2,True
3l0z,False
4e1p,False
2ra1,True
6rb3,False
2wi8,True
3cex,False
1u0s,False
2q6q,False
3bt4,True
5dse,False
5hlj,True
1wdc,False
1ucd,True
4che,True
4ynx,False
1atz,False
1s2o,True
4lxh,True
3lm6,False
6qgy,False
6a15,True
4fqg,False
4a1s,False
5zbf,True
4ium,False
6nax,False
4xtl,True
5fo5,True
3w15,False
5ed7,True
4j8s,False
1i24,True
5oen,False
4qsg,True
2iid,False
5zby,True
4oxx,True
4ydd,False
5kvb,True
5y9z,False
1z8u,False
3mi9,False
4f0w,True
1zoi,False
4cfs,False
2axo,True
2z6r,False
2e1v,False
5mul,True
2j9w,False
3ca7,True
2wjr,True
2wlv,False
3cf4,False
3b7h,True
5tf3,True
3c9u,False
5los,True
3dxy,True
2p6w,True
6k3a,False
6htl,True
4zi5,False
2q4m,True
3nqo,False
4uqz,False
5b5x,True
1s1d,False
1tqg,True
3tg7,True
1q6o,False
5fcm,False
3rwx,True
2vdw,False
4yar,True
2nwq,False
1d8h,False
5jlb,False
2rfq,False
2pfz,True
4f1j,False
2qjv,False
5t2x,False
3euo,False
4wbd,True
6ff1,True
5wl1,False
3lhc,True
4e3x,False
1fsg,False
1sr8,True
3can,True
3lhn,False
4db5,True
2f2h,False
5tnv,True
4up3,False
4z48,False
4u9v,True
2wfw,False
4ifa,True
3hsr,False
6o1b,True
3cs1,True
2b0v,True
4c1b,False
4jbc,False
2a7k,False
4jox,True
1ii5,True
5n0o,False
2amh,True
5oqq,False
